NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5562 =  33.95% , Elapsed time =  17028.23 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5001 =  30.52% , Elapsed time =   8223.82 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5161 =  31.50% , Elapsed time =   9418.74 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =  10404.43 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4980 =  30.40% , Elapsed time =  10623.12 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4340 =  26.49% , Elapsed time =  11185.73 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5234 =  31.95% , Elapsed time =   8043.53 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5142 =  31.38% , Elapsed time =  15174.57 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4356 =  26.59% , Elapsed time =   9803.07 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  2718 =  16.59% , Elapsed time =  10281.51 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =    23 =   0.07% , Elapsed time =  53317.23 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  11362.40 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  15098.07 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =    10 =   0.03% , Elapsed time =  17805.95 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =    17 =   0.05% , Elapsed time =  20643.98 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  8091 =  24.69% , Elapsed time =  12609.36 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10917 =  33.32% , Elapsed time =  11302.67 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  7236 =  22.08% , Elapsed time =   7009.99 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10730 =  32.75% , Elapsed time =  12295.28 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 12171 =  37.14% , Elapsed time =  11797.76 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  5342 =  16.30% , Elapsed time =  11326.90 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =  18806.10 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9265 =  28.27% , Elapsed time =  18032.06 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  8427 =  25.72% , Elapsed time =  10786.85 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  8887 =  27.12% , Elapsed time =  15895.42 microseconds
